"Made up to",31/12/12,31/12/11
Currency,GBP,GBP
Turnover,0.00,0.00
"Cost of sales",,
"Gross profit",,
"Operating profit",-78040544.70,-30945221.51
"Interest payable and similar charges",5261568.79,0.00
"Pretax profit",-218776264.71,-30945221.51
Taxation,0.00,0.00
"Profit for the year",-218776264.71,-30945221.51
"Dividends paid out",,
Profit retained,-218776264.71,-30945221.51
"Fixed assets",512129521.22,438566147.02
"Inventory",0.00,0.00
"Debts owed by customers",0.00,0.00
"Debts owed by others, including group companies",25042824.57,284270749.89
"Current assets",25269579.14,284270749.89
"Current liabilities",339528621.60,265405755.12
"Long term liabilities",139501509.64,180285907.94
"Called up share capital",308090455.35,308090455.35
"Profit and loss account",-249721486.22,-30945221.51
"Shareholder funds",58368969.12,277145233.84
