"Made up to",31/12/12
Currency,GBP
Turnover,0.00
"Cost of sales",
"Gross profit",
"Operating profit",
"Interest payable and similar charges",0.00
"Pretax profit",-4485015.92
Taxation,0.00
"Profit for the year",-4485015.92
"Dividends paid out",
Profit retained,-4485015.92
"Fixed assets",0.00
"Inventory",0.00
"Debts owed by customers",219879.19
"Debts owed by others, including group companies",0.00
"Current assets",219879.19
"Current liabilities",4638520.50
"Long term liabilities",0.00
"Called up share capital",66374.61
"Profit and loss account",-4485015.92
"Shareholder funds",-4418641.31
