"Made up to",31/12/12
Currency,GBP
Turnover,0.00
"Cost of sales",
"Gross profit",
"Operating profit",
"Interest payable and similar charges",0.00
"Pretax profit",-1186709.81
Taxation,0.00
"Profit for the year",-1186709.81
"Dividends paid out",
Profit retained,-1186709.81
"Fixed assets",9727200.31
"Inventory",0.00
"Debts owed by customers",0.00
"Debts owed by others, including group companies",5979258.59
"Current assets",5979258.59
"Current liabilities",4809.50
"Long term liabilities",0.00
"Called up share capital",16888359.21
"Profit and loss account",-1186709.81
"Shareholder funds",15701649.40
