"Made up to",31/12/12
Currency,GBP
Turnover,0.00
"Cost of sales",
"Gross profit",
"Operating profit",
"Interest payable and similar charges",0.00
"Pretax profit",-32098063.45
Taxation,0.00
"Profit for the year",-32098063.45
"Dividends paid out",
Profit retained,-32098063.45
"Fixed assets",3354177.82
"Inventory",0.00
"Debts owed by customers",0.00
"Debts owed by others, including group companies",44.19
"Current assets",44.19
"Current liabilities",35452284.80
"Long term liabilities",0.00
"Called up share capital",0.65
"Profit and loss account",-32098063.45
"Shareholder funds",-32098062.79
