"Made up to",31/12/12
Currency,GBP
Turnover,0.00
"Cost of sales",
"Gross profit",
"Operating profit",
"Interest payable and similar charges",0.00
"Pretax profit",-846867.62
Taxation,0.00
"Profit for the year",-846867.62
"Dividends paid out",
Profit retained,-846867.62
"Fixed assets",0.00
"Inventory",0.00
"Debts owed by customers",0.00
"Debts owed by others, including group companies",0.00
"Current assets",0.00
"Current liabilities",846866.96
"Long term liabilities",0.00
"Called up share capital",0.65
"Profit and loss account",-846867.62
"Shareholder funds",-846866.96
