"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",615983732.82,2186586973.93,,,
"Interest payable and similar charges",97649269.82,45024955.32,35146787.86,54407935.14,357415185.78
"Pretax profit",518962967.52,2137676381.78,909554108.83,6296380665.76,3118101453.95
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",518962967.52,2137676381.78,909554108.83,6296380665.76,3118101453.95
"Dividends paid out",,,,,
Profit retained,56827284.49,-18956805.71,-11708635.30,-114379683.08,845993537.96
"Fixed assets",14463429662.94,14261452338.40,4258310404.12,4269194202.18,4441520516.96
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",3777805.16,3527635.71,245132661.83,249434958.85,456326332.79
"Current assets",3777805.16,3527635.71,245132661.83,249875936.61,456659773.82
"Current liabilities",4943921991.49,4995699673.42,53489743.27,57408180.81,103344749.59
"Long term liabilities",5254622589.19,5254622589.19,3643119395.65,3643119395.65,3813262681.74
"Called up share capital",4115058229.09,3917880337.66,691476477.09,691476477.09,727536025.84
"Profit and loss account",153604658.32,96777373.83,115357449.94,127066085.24,254036833.60
"Shareholder funds",4268662887.42,4014657711.50,806833927.03,818542562.33,981572859.45
