"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,1320246064.88,1136896241.56,724830639.66,593617048.59,949374241.74
"Cost of sales",1320204946.99,1136851268.87,724771193.26,593571474.42,949310388.86
"Gross profit",41117.89,44972.69,59446.40,45574.17,63852.88
"Operating profit",,,,,
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",7067.13,7067.13,5573.10,6418.89,6385.28
Taxation,-3854.80,-3854.80,-3096.16,-1925.66,-7023.81
"Profit for the year",3212.33,3212.33,2476.93,4493.22,-638.52
"Dividends paid out",,,,,
Profit retained,3212.33,3212.33,2476.93,4493.22,-638.52
"Fixed assets",354798586.57,354798586.57,341967923.71,353979074.39,260683225.84
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",519339543.84,381009958.23,229290358.53,167468386.93,131012706.72
"Current assets",519408287.82,381076774.81,229354758.80,167535785.35,131065704.61
"Current liabilities",519298425.95,380970125.28,229255062.23,167435008.66,130969286.76
"Long term liabilities",349530999.03,349530999.03,336890829.15,348716220.55,255448566.50
"Called up share capital",368776.10,368776.10,355439.96,368444.70,366515.54
"Profit and loss account",-360914873.11,-360918085.44,-347869217.90,-360599525.00,-358715918.52
"Shareholder funds",5377449.40,5374237.07,5176791.13,5363630.52,5331077.19
