"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,
"Gross profit",,,,,
"Operating profit",349701000.00,-398000.00,-3623000.00,26910000.00,-83634000.00
"Interest payable and similar charges",0.00,2122000.00,2202000.00,8263000.00,29044000.00
"Pretax profit",351346000.00,23378000.00,-4053000.00,23748000.00,-59777000.00
Taxation,0.00,509000.00,0.00,0.00,-684000.00
"Profit for the year",351346000.00,23887000.00,-4053000.00,23748000.00,-60461000.00
"Dividends paid out",,,,,
Profit retained,1346000.00,23887000.00,-44053000.00,-127615000.00,-60461000.00
"Fixed assets",250732000.00,250732000.00,312900000.00,312900000.00,409407000.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,54914000.00
"Debts owed by others, including group companies",380465000.00,378117000.00,551574000.00,485562000.00,996175000.00
"Current assets",381905000.00,379534000.00,556744000.00,489855000.00,1067176000.00
"Current liabilities",214004000.00,212979000.00,476244000.00,365302000.00,911515000.00
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",75167000.00,75167000.00,75167000.00,75167000.00,75167000.00
"Profit and loss account",39229000.00,37883000.00,13996000.00,58049000.00,185664000.00
"Shareholder funds",418633000.00,417287000.00,393400000.00,437453000.00,565068000.00
