"Made up to",31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,18031527.00,15282600.00,13814748.00,11658404.00,6575264.00
"Cost of sales",16743213.00,14286848.00,13017396.00,11074176.00,6262156.00
"Gross profit",1288314.00,995752.00,797352.00,584228.00,313108.00
"Operating profit",741848.00,695435.00,497212.00,-296393.00,313108.00
"Interest payable and similar charges",16081.00,4277.00,26428.00,8807.00,0.00
"Pretax profit",733428.00,701457.00,483712.00,-299010.00,324641.00
Taxation,-293022.00,-242495.00,-205262.00,-158617.00,0.00
"Profit for the year",440406.00,458962.00,278450.00,-457627.00,324641.00
"Dividends paid out",,,,,
Profit retained,164823.00,458962.00,278450.00,-782268.00,-2270734.00
"Fixed assets",4143087.00,4680608.00,3068439.00,3359499.00,0.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",258387.00,186585.00,102783.00,582055.00,0.00
"Debts owed by others, including group companies",434368.00,243446.00,202023.00,4638.00,0.00
"Current assets",2966448.00,1999526.00,2330691.00,3271284.00,324741.00
"Current liabilities",1574223.00,2144142.00,886707.00,1930310.00,0.00
"Long term liabilities",865604.00,31107.00,466500.00,933000.00,0.00
"Called up share capital",4225100.00,4225100.00,4225100.00,4225100.00,100.00
"Profit and loss account",444608.00,279785.00,-179177.00,-457627.00,324641.00
"Shareholder funds",4669708.00,4504885.00,4045923.00,3767473.00,324741.00
