"Made up to",31/12/13,31/12/12,31/12/11,31/12/10,31/12/09
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,65192.00,64510.00,72236.00,54645.00,46773.00
"Cost of sales",16907.00,16907.00,16906.00,,
"Gross profit",48285.00,47603.00,55330.00,,
"Operating profit",38089.00,34529.00,45927.00,28769.00,27015.00
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",40797.00,40000.00,54110.00,31379.00,35083.00
Taxation,-11287.00,-11127.00,-14659.00,-8130.00,-8663.00
"Profit for the year",29510.00,28873.00,39451.00,23249.00,26420.00
"Dividends paid out",,,,,
Profit retained,29510.00,28873.00,39451.00,23249.00,26420.00
"Fixed assets",477712.00,494619.00,511526.00,527626.00,326320.00
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",28540.00,25431.00,15331.00,22931.00,21679.00
"Debts owed by others, including group companies",3385.00,598.00,1932.00,1981.00,1655.00
"Current assets",633221.00,586332.00,537664.00,481429.00,653427.00
"Current liabilities",42867.00,42636.00,40099.00,40692.00,34633.00
"Long term liabilities",1869.00,1628.00,1277.00,0.00,0.00
"Called up share capital",320000.00,320000.00,320000.00,320000.00,320000.00
"Profit and loss account",746197.00,716687.00,687814.00,648363.00,625114.00
"Shareholder funds",1066197.00,1036687.00,1007814.00,968363.00,945114.00
