"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,1038064246.70,756434950.20,702124589.75,639098227.65,1255452191.23
"Cost of sales",576761323.48,342585929.97,320274320.39,340912381.42,427063745.01
"Gross profit",461302923.22,413849020.23,381850269.36,298185846.23,828388446.21
"Operating profit",483721811.75,422824927.72,373285652.36,279380304.54,824104913.67
"Interest payable and similar charges",9471892.06,17073562.47,36887113.75,22807039.44,88832005.31
"Pretax profit",438964985.54,231138451.65,338067991.82,263544682.97,737544488.71
Taxation,-378334082.87,-251949887.56,-133618180.69,-125363205.19,-390237051.79
"Profit for the year",60630902.66,-20811435.91,204449811.13,138181477.78,347307436.91
"Dividends paid out",,,,,
Profit retained,60630902.66,-20811435.91,204449811.13,138305666.50,347307436.91
"Fixed assets",3303331834.24,3055078702.21,1581456436.93,1524683599.60,1489436918.99
"Inventory",11563764.85,15245743.65,10920180.81,9352845.73,10363213.81
"Debts owed by customers",110035335.68,133495663.34,70897888.41,82296555.16,95426294.82
"Debts owed by others, including group companies",2718910375.84,2895001606.16,3003081924.57,2949556290.56,2856077689.23
"Current assets",2840512688.72,3043746225.50,3084903089.97,3041247503.74,2962308100.92
"Current liabilities",2020303244.45,2353064567.94,1567775713.66,1548394283.57,1499654714.47
"Long term liabilities",2631040154.19,2313890138.13,1698435816.45,1675068022.96,1670847941.56
"Called up share capital",186249919.69,186249919.69,179514521.02,180914877.68,192495351.92
"Profit and loss account",1220733054.93,1160102152.26,1138207938.57,1078485396.90,1000361221.77
"Shareholder funds",1492501124.31,1431870221.65,1400147996.77,1342468796.80,1281242363.87
