"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,10384837.77,35275297.14,23249442.49,14345151.07,68509044.74
"Cost of sales",22769675.55,20782524.89,13580758.20,12228923.00,17794350.99
"Gross profit",-12384837.77,14492772.24,9668684.29,2116228.07,50714693.74
"Operating profit",-14182460.64,12347574.68,,,
"Interest payable and similar charges",312881.46,352071.95,175852.18,21929.82,88860.67
"Pretax profit",-14479280.43,12080950.85,7606244.02,934454.19,51590606.15
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",-14479280.43,12080950.85,7606244.02,934454.19,51590606.15
"Dividends paid out",,,,,
Profit retained,-14479280.43,12080950.85,7606244.02,-29523635.47,10333862.26
"Fixed assets",1284934.14,5362672.66,0.00,0.00,0.00
"Inventory",764535.81,202377.12,120420.51,245492.20,161853.37
"Debts owed by customers",19274.01,8619338.25,9194647.97,1239644.24,65376.07
"Debts owed by others, including group companies",32546097.01,34349502.08,24330041.41,22423245.61,56564265.31
"Current assets",33329906.84,43171217.47,33645109.90,23908382.06,56791494.76
"Current liabilities",4309669.12,3749437.84,1212488.05,172392.78,1297365.91
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",3895920.33,3895920.33,3863650.84,3693957.11,3848936.84
"Profit and loss account",26409251.52,40888531.96,28568971.00,20042032.16,51645192.00
"Shareholder funds",30305171.85,44784452.29,32432621.85,23735989.27,55494128.84
