"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,0.00
"Gross profit",,,,,0.00
"Operating profit",,,,,-3015.86
"Interest payable and similar charges",43535796.01,40001307.61,37130968.29,64489126.47,25383919.41
"Pretax profit",426989865.96,344787839.16,-37005831.61,-61350382.69,3194096145.72
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",426989865.96,344787839.16,-37005831.61,-61350382.69,3194096145.72
"Dividends paid out",,,,,
Profit retained,-213742399.47,344787839.16,-37005831.61,-3098648402.38,3194096145.72
"Fixed assets",3401014710.68,3571633867.27,2961457295.58,1399779492.16,1389901079.67
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",392081072.24,435204315.13,450345644.51,488247479.04,3576783280.05
"Current assets",392081072.24,435204315.13,450345644.51,488247479.04,3576783280.05
"Current liabilities",5884.27,5884.27,9362774.87,10258777.79,25386935.27
"Long term liabilities",1890160183.06,1890160183.06,1756165714.97,1756165714.97,1743772241.99
"Called up share capital",2434782.60,2434782.60,2262179.56,358401.16,355871.88
"Profit and loss account",218379862.70,432122262.17,81143238.97,118149070.58,3194096145.72
"Shareholder funds",1902929715.59,2116672115.07,1646274450.24,121602478.43,3197525182.45
