"Made up to",31/12/12,31/12/11,31/12/10,31/12/09,31/12/08
Currency,GBP,GBP,GBP,GBP,GBP
Turnover,0.00,0.00,0.00,0.00,0.00
"Cost of sales",,,,,0.00
"Gross profit",,,,,0.00
"Operating profit",-7301.20,1289816845.09,-6091.61,-609.16,-3015.86
"Interest payable and similar charges",0.00,0.00,0.00,0.00,0.00
"Pretax profit",-354172972.25,2063939120.34,-5482.45,609.16,-723392243.19
Taxation,0.00,0.00,0.00,0.00,0.00
"Profit for the year",-354172972.25,2063939120.34,-5482.45,609.16,-723392243.19
"Dividends paid out",,,,,
Profit retained,-1681665339.17,2063939120.34,-5482.45,609.16,-723392243.19
"Fixed assets",7043091065.97,7188572165.61,6059088693.95,2863060428.84,2834911635.20
"Inventory",0.00,0.00,0.00,0.00,0.00
"Debts owed by customers",0.00,0.00,0.00,0.00,0.00
"Debts owed by others, including group companies",3266958.71,1291783825.61,1642300.19,1642300.19,1624344.04
"Current assets",3266958.71,1291783825.61,1642300.19,1642300.19,1624344.04
"Current liabilities",10619.93,10318.58,9746.58,4264.13,3015.86
"Long term liabilities",0.00,0.00,0.00,0.00,0.00
"Called up share capital",778574.27,756481.36,714546.78,359405.45,355871.88
"Profit and loss account",-353493296.16,1290483683.73,-730579922.02,-730574439.57,-723392243.19
"Shareholder funds",7046347404.75,8480345672.64,6060721247.56,2864698464.91,2836532963.38
